Pipeline Name,Shipper Name,Expiration Date,Max Quantity,Receipt Points,Delivery Points
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","BAYONNE ENERGY CENTER, LLC",04/04/2032,125000,"[('BEC M6323', 125000)]","[('BAYONNE TRANSFER', 125000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",BOSTON GAS COMPANY D/B/A NATIONAL GRID,05/31/2008,6911,"[('ALGONQUIN-CTR M4402', 6911)]","[('WHARTON-NAT FUEL', 6911)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CARDINAL FG COMPANY,04/30/2028,3400,"[('PUBLIC SERV N C', 3400)]","[('STA 65 POOL ZN3', 3400)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CARDINAL FG COMPANY,08/31/2004,227,"[('LEXINGTON', 227)]","[('STA 30 POOL ZN1', 38), ('STA 45 POOL ZN2', 58), ('STA 50 POOL ZN3', 43), ('STA 62 POOL ZN3', 88)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF ALEXANDER CITY, ALABAMA",10/30/2013,2588,"[('GAS AUTHORITY', 2588)]","[('STA 30 POOL ZN1', 440), ('STA 45 POOL ZN2', 647), ('STA 50 POOL ZN3', 492), ('STA 62 POOL ZN3', 1009)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF ALEXANDER CITY, ALABAMA",03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BAMBERG BOARD OF PUBLIC WORKS,10/31/2017,256,"[('CAROLINA GAS', 256)]","[('STA 65 POOL ZN3', 256), ('STA 85 POOL ZN4', 0)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BENNETTSVILLE,10/31/2017,615,"[('CAROLINA GAS', 615)]","[('STA 65 POOL ZN3', 615), ('STA 85 POOL ZN4', 0)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BESSEMER CITY NORTH CAROLINA,12/30/2001,1470,"[('BESSEMER CITY M7164', 1470)]","[('STA 30 POOL ZN1', 250), ('STA 45 POOL ZN2', 368), ('STA 50 POOL ZN3', 279), ('STA 62 POOL ZN3', 573)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BESSEMER CITY NORTH CAROLINA,10/30/2013,776,"[('BESSEMER CITY M7164', 776)]","[('STA 30 POOL ZN1', 132), ('STA 45 POOL ZN2', 194), ('STA 50 POOL ZN3', 147), ('STA 62 POOL ZN3', 303)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BOWMAN GEORGIA,10/30/2013,57,"[('GAS AUTHORITY', 57)]","[('STA 30 POOL ZN1', 9), ('STA 45 POOL ZN2', 16), ('STA 50 POOL ZN3', 10), ('STA 62 POOL ZN3', 22)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BOWMAN GEORGIA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BUFORD GEORGIA,03/20/1998,90,"[('BUFORD', 90)]","[('STA 30 POOL ZN1', 16), ('STA 45 POOL ZN2', 22), ('STA 50 POOL ZN3', 17), ('STA 62 POOL ZN3', 35)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BUFORD GEORGIA,10/31/2005,2070,"[('BUFORD', 2070)]","[('HEIDELBERG', 271), ('HOLMESVILLE', 1799)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BUFORD GEORGIA,03/30/2006,3809,"[('BUFORD', 3809)]","[('STA 30 POOL ZN1', 648), ('STA 45 POOL ZN2', 951), ('STA 50 POOL ZN3', 724), ('STA 62 POOL ZN3', 1486)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BUFORD GEORGIA,07/30/2001,311,"[('BUFORD', 311)]","[('STA 30 POOL ZN1', 53), ('STA 45 POOL ZN2', 77), ('STA 50 POOL ZN3', 60), ('STA 62 POOL ZN3', 121)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BUFORD GEORGIA,11/04/2014,151,"[('BUFORD', 151)]","[('STA 85 POOL ZN4', 151)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BUFORD GEORGIA,10/31/2015,1077,"[('BUFORD', 1077)]","[('STA 85 POOL ZN4', 1077)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BUFORD GEORGIA,10/31/2015,3105,"[('BUFORD', 3105)]","[('STA 85 POOL ZN4', 3105)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BUFORD GEORGIA,04/30/2017,2588,"[('BUFORD', 2588)]","[('SHUBUTA-DESTIN M3576', 2588)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BUFORD GEORGIA,04/30/2018,4140,"[('BUFORD', 4140)]","[('SHUBUTA-DESTIN M3576', 4140)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BUFORD GEORGIA,04/30/2014,2500,"[('UNITED CIT GA M7037', 2500)]","[('STA 65 POOL ZN3', 625), ('SHUBUTA-DESTIN M3576', 1875)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BUFORD GEORGIA,12/31/2055,3750,"[('STA 65 POOL ZN3', 3750)]","[('PLEASANT VALLEY', 3750)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BUFORD GEORGIA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF BUFORD GEORGIA,10/30/2016,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF CARTERSVILLE,05/31/2043,5000,"[('HOLMESVILLE', 5000)]","[('STA 210 POOL ZN6', 5000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF DANVILLE VIRGINIA,03/31/2013,16910,"[('DANVILLE', 16910)]","[('STA 45 POOL ZN2', 4227), ('STA 50 POOL ZN3', 3213), ('STA 62 POOL ZN3', 6595), ('STA 65 POOL ZN3', 2875)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF DANVILLE VIRGINIA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF ELBERTON GEORGIA,10/30/2013,518,"[('GAS AUTHORITY', 518)]","[('STA 30 POOL ZN1', 88), ('STA 45 POOL ZN2', 129), ('STA 50 POOL ZN3', 98), ('STA 62 POOL ZN3', 203)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF FOUNTAIN INN SOUTH CAROLINA,10/31/2013,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF FOUNTAIN INN SOUTH CAROLINA,12/30/2001,1563,"[('FOUNTAIN INN M7108', 1563)]","[('STA 30 POOL ZN1', 266), ('STA 45 POOL ZN2', 390), ('STA 50 POOL ZN3', 297), ('STA 62 POOL ZN3', 610)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF FOUNTAIN INN SOUTH CAROLINA,10/31/2005,518,"[('FOUNTAIN INN M7108', 518)]","[('HEIDELBERG', 518)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF FOUNTAIN INN SOUTH CAROLINA,11/04/2014,479,"[('FOUNTAIN INN M7108', 479)]","[('STA 85 POOL ZN4', 479)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF FOUNTAIN INN SOUTH CAROLINA,10/31/2015,581,"[('FOUNTAIN INN M7108', 581)]","[('STA 85 POOL ZN4', 581)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF FOUNTAIN INN SOUTH CAROLINA,10/31/2017,2035,"[('FOUNTAIN INN M7108', 2035)]","[('STA 85 POOL ZN4', 2035)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF FOUNTAIN INN SOUTH CAROLINA,10/30/2013,396,"[('FOUNTAIN INN M7108', 396)]","[('STA 30 POOL ZN1', 67), ('STA 45 POOL ZN2', 100), ('STA 50 POOL ZN3', 75), ('STA 62 POOL ZN3', 154)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF FOUNTAIN INN SOUTH CAROLINA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF GREENWOOD SOUTH CAROLINA,10/31/2013,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF GREENWOOD SOUTH CAROLINA,11/21/2013,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF GREENWOOD SOUTH CAROLINA,01/30/2012,8901,"[('STA 65 POOL ZN3', 40), ('GREENWOOD', 8901)]","[('STA 30 POOL ZN1', 1513), ('STA 45 POOL ZN2', 2226), ('STA 50 POOL ZN3', 1691), ('STA 62 POOL ZN3', 3471), ('WASHINGTON STG TRANS', 40)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF GREENWOOD SOUTH CAROLINA,10/31/2005,9651,"[('GREENWOOD', 9651)]","[('HEIDELBERG', 5625), ('HOLMESVILLE', 4026)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF GREENWOOD SOUTH CAROLINA,07/30/2006,104,"[('STA 65 POOL ZN3', 40), ('GREENWOOD', 104)]","[('STA 30 POOL ZN1', 18), ('STA 45 POOL ZN2', 25), ('STA 50 POOL ZN3', 20), ('STA 62 POOL ZN3', 41), ('WASHINGTON STG TRANS', 40)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF GREENWOOD SOUTH CAROLINA,10/31/2017,3105,"[('GREENWOOD', 3105)]","[('STA 85 POOL ZN4', 3105)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF GREENWOOD SOUTH CAROLINA,04/29/2020,4000,"[('LYNCHBURG', 348), ('PUBLIC SERV N C', 3652)]","[('STA 30 POOL ZN1', 680), ('STA 45 POOL ZN2', 1000), ('STA 50 POOL ZN3', 760), ('STA 62 POOL ZN3', 1560)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF GREENWOOD SOUTH CAROLINA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF GREENWOOD SOUTH CAROLINA,03/31/2032,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF HARTWELL GEORGIA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF KINGS MOUNTAIN NORTH CAROLINA,03/17/1998,90,"[('KINGS MOUNTAIN', 90)]","[('STA 30 POOL ZN1', 16), ('STA 45 POOL ZN2', 22), ('STA 50 POOL ZN3', 17), ('STA 62 POOL ZN3', 35)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF KINGS MOUNTAIN NORTH CAROLINA,10/30/2000,3244,"[('KINGS MOUNTAIN', 3244)]","[('STA 30 POOL ZN1', 551), ('STA 45 POOL ZN2', 812), ('STA 50 POOL ZN3', 616), ('STA 62 POOL ZN3', 1265)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF KINGS MOUNTAIN NORTH CAROLINA,10/31/2005,1035,"[('KINGS MOUNTAIN', 1035)]","[('HEIDELBERG', 136), ('HOLMESVILLE', 899)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF KINGS MOUNTAIN NORTH CAROLINA,07/30/2001,207,"[('KINGS MOUNTAIN', 207)]","[('STA 30 POOL ZN1', 35), ('STA 45 POOL ZN2', 52), ('STA 50 POOL ZN3', 39), ('STA 62 POOL ZN3', 81)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF KINGS MOUNTAIN NORTH CAROLINA,03/16/1998,90,"[('KINGS MOUNTAIN', 90)]","[('STA 30 POOL ZN1', 16), ('STA 45 POOL ZN2', 22), ('STA 50 POOL ZN3', 17), ('STA 62 POOL ZN3', 35)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF LAGRANGE, GEORGIA",09/11/2032,2000,"[('LAGRANGE GA M7394', 2000)]","[('STA 85 POOL ZN4', 2000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF LAGRANGE, GEORGIA",12/31/2035,3000,"[('STA 65 POOL ZN3', 3000)]","[('PLEASANT VALLEY', 3000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF LAURENS SOUTH CAROLINA,06/30/2003,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF LAURENS SOUTH CAROLINA,10/31/2020,6114,"[('STA 65 POOL ZN3', 40), ('LAURENS M7043', 6114)]","[('STA 30 POOL ZN1', 1039), ('STA 45 POOL ZN2', 1529), ('STA 50 POOL ZN3', 1162), ('STA 62 POOL ZN3', 2384), ('WASHINGTON STG TRANS', 40)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF LAURENS SOUTH CAROLINA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF LAURENS SOUTH CAROLINA,03/31/2035,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF LEXINGTON NORTH CAROLINA,02/28/2010,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF LEXINGTON NORTH CAROLINA,06/30/2003,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF LEXINGTON NORTH CAROLINA,06/30/2013,7212,"[('LEXINGTON', 7212)]","[('STA 30 POOL ZN1', 1226), ('STA 45 POOL ZN2', 1804), ('STA 50 POOL ZN3', 1370), ('STA 62 POOL ZN3', 2812)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF LEXINGTON NORTH CAROLINA,06/30/2013,2070,"[('LEXINGTON', 2070)]","[('HEIDELBERG', 271), ('HOLMESVILLE', 1799)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF LEXINGTON NORTH CAROLINA,06/30/2013,311,"[('LEXINGTON', 311)]","[('STA 30 POOL ZN1', 53), ('STA 45 POOL ZN2', 78), ('STA 50 POOL ZN3', 59), ('STA 62 POOL ZN3', 121)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF LEXINGTON NORTH CAROLINA,10/31/2024,207,"[('CPH MP 1302.37', 207)]","[('HOLMESVILLE', 207)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF LEXINGTON NORTH CAROLINA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF MADISON GEORGIA,10/30/2013,109,"[('GAS AUTHORITY', 109)]","[('STA 30 POOL ZN1', 19), ('STA 45 POOL ZN2', 27), ('STA 50 POOL ZN3', 21), ('STA 62 POOL ZN3', 42)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF MADISON GEORGIA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF MONROE GEORGIA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF MONROE, NORTH CAROLINA",04/30/2018,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF MONROE, NORTH CAROLINA",02/28/2010,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF MONROE, NORTH CAROLINA",10/31/2015,1500,"[('LEXINGTON', 1500)]","[('STA 85 POOL ZN4', 1500)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF MONROE, NORTH CAROLINA",10/31/2015,1500,"[('LEXINGTON', 1500)]","[('STA 85 POOL ZN4', 1500)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF MONROE, NORTH CAROLINA",04/30/2033,6500,"[('LEXINGTON', 6500)]","[('STA 65 POOL ZN3', 6500)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF MONROE, NORTH CAROLINA",08/30/2009,1000,"[('KINGS MOUNTAIN', 1000)]","[('STA 30 POOL ZN1', 170), ('STA 45 POOL ZN2', 250), ('STA 50 POOL ZN3', 190), ('STA 62 POOL ZN3', 390)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF MONROE, NORTH CAROLINA",01/14/2010,600,"[('BESSEMER CITY M7164', 600)]","[('STA 30 POOL ZN1', 102), ('STA 45 POOL ZN2', 150), ('STA 50 POOL ZN3', 114), ('STA 62 POOL ZN3', 234)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","CITY OF MONROE, NORTH CAROLINA",01/14/2010,2000,"[('STA 65 POOL ZN3', 0), ('SHELBY M7102', 2000)]","[('STA 30 POOL ZN1', 340), ('STA 45 POOL ZN2', 500), ('STA 50 POOL ZN3', 380), ('STA 62 POOL ZN3', 780), ('WASHINGTON STG TRANS', 0)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF ORANGEBURG DEPT OF PUBLIC UTILITIES,10/31/2017,2000,"[('CAROLINA GAS', 2000)]","[('STA 65 POOL ZN3', 2000), ('STA 85 POOL ZN4', 0)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF RICHMOND VIRGINIA,03/30/2005,10032,"[('EMPORIA WALDROP', 10032)]","[('STA 30 POOL ZN1', 1706), ('STA 45 POOL ZN2', 2508), ('STA 50 POOL ZN3', 1906), ('STA 62 POOL ZN3', 3912)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF RICHMOND VIRGINIA,03/30/2017,379,"[('LEIDY-DOMINION', 379)]","[('CPH UTOS TGPL', 371), ('CPH M/L 469.41', 8)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF ROANOKE ALABAMA,10/30/2013,752,"[('GAS AUTHORITY', 752)]","[('STA 30 POOL ZN1', 128), ('STA 45 POOL ZN2', 188), ('STA 50 POOL ZN3', 143), ('STA 62 POOL ZN3', 293)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF ROCKY MOUNT (NC),02/28/2055,1656,"[('STA 65 POOL ZN3', 645), ('DELMARVA', 1656)]","[('STA 30 POOL ZN1', 281), ('STA 45 POOL ZN2', 416), ('STA 50 POOL ZN3', 314), ('STA 62 POOL ZN3', 645), ('WASHINGTON STG TRANS', 645)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF ROYSTON GEORGIA,10/30/2013,259,"[('GAS AUTHORITY', 259)]","[('STA 30 POOL ZN1', 45), ('STA 45 POOL ZN2', 63), ('STA 50 POOL ZN3', 50), ('STA 62 POOL ZN3', 101)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF SHELBY NORTH CAROLINA,02/28/2010,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF SHELBY NORTH CAROLINA,06/30/2003,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF SHELBY NORTH CAROLINA,08/01/2013,542,"[('SHELBY M7102', 542)]","[('STA 30 POOL ZN1', 94), ('STA 45 POOL ZN2', 132), ('STA 50 POOL ZN3', 104), ('STA 62 POOL ZN3', 212)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF SHELBY NORTH CAROLINA,10/31/2013,7343,"[('STA 65 POOL ZN3', 81), ('SHELBY M7102', 7343)]","[('STA 30 POOL ZN1', 1248), ('STA 45 POOL ZN2', 1837), ('STA 50 POOL ZN3', 1395), ('STA 62 POOL ZN3', 2863), ('WASHINGTON STG TRANS', 81)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF SHELBY NORTH CAROLINA,10/31/2013,3623,"[('SHELBY M7102', 3623)]","[('HEIDELBERG', 476), ('HOLMESVILLE', 3147)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF SHELBY NORTH CAROLINA,10/31/2024,363,"[('CPH MP 1302.37', 363)]","[('HOLMESVILLE', 363)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF SHELBY NORTH CAROLINA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF SHELBY NORTH CAROLINA,03/31/2035,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF SOCIAL CIRCLE GEORGIA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF SUGAR HILL GEORGIA,10/30/2013,65,"[('GAS AUTHORITY', 65)]","[('STA 30 POOL ZN1', 11), ('STA 45 POOL ZN2', 16), ('STA 50 POOL ZN3', 12), ('STA 62 POOL ZN3', 26)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF SUGAR HILL GEORGIA,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,06/30/2003,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,10/31/2017,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,03/23/1998,187,"[('UNION SC M7124', 187)]","[('STA 45 POOL ZN2', 47), ('STA 50 POOL ZN3', 35), ('STA 62 POOL ZN3', 73), ('STA 65 POOL ZN3', 32)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,06/28/2005,5796,"[('STA 65 POOL ZN3', 40), ('UNION SC M7124', 5796)]","[('STA 30 POOL ZN1', 985), ('STA 45 POOL ZN2', 1450), ('STA 50 POOL ZN3', 1101), ('STA 62 POOL ZN3', 2260), ('WASHINGTON STG TRANS', 40)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,06/28/2005,104,"[('STA 65 POOL ZN3', 40), ('UNION SC M7124', 104)]","[('STA 30 POOL ZN1', 18), ('STA 45 POOL ZN2', 25), ('STA 50 POOL ZN3', 20), ('STA 62 POOL ZN3', 41), ('WASHINGTON STG TRANS', 40)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,03/16/1998,181,"[('UNION SC M7124', 181)]","[('STA 45 POOL ZN2', 46), ('STA 50 POOL ZN3', 34), ('STA 62 POOL ZN3', 70), ('STA 65 POOL ZN3', 31)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,10/31/2015,1300,"[('UNION SC M7124', 1300)]","[('STA 85 POOL ZN4', 1300)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,10/31/2017,2070,"[('UNION SC M7124', 2070)]","[('STA 65 POOL ZN3', 1610), ('STA 85 POOL ZN4', 460)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",CITY OF UNION SOUTH CAROLINA,10/31/2017,509,"[('CAROLINA GAS', 509)]","[('STA 65 POOL ZN3', 509), ('STA 85 POOL ZN4', 0)]"
