Date,Value,Item
2025-07-15,1591713.283,ERCOT - TotalLoad
2025-07-16,1608030.036725,ERCOT - TotalLoad
2025-07-17,1591570.5455749999,ERCOT - TotalLoad
2025-07-18,1586606.903775,ERCOT - TotalLoad
2025-07-19,1591833.7969,ERCOT - TotalLoad
2025-07-20,1593167.103725,ERCOT - TotalLoad
2025-07-21,1645023.6234249999,ERCOT - TotalLoad
2025-07-22,1650416.6192750002,ERCOT - TotalLoad
2025-07-23,1661013.661775,ERCOT - TotalLoad
2025-07-24,1679495.20665,ERCOT - TotalLoad
2025-07-25,15108858.782019433,ERCOT - TotalLoad
2025-06-30,962878.6000000001,IESO - TotalLoad
2025-07-01,5708139.6,IESO - TotalLoad
2025-07-02,5717723.6,IESO - TotalLoad
2025-07-03,5516466.300000001,IESO - TotalLoad
2025-07-04,5212084.8,IESO - TotalLoad
2025-07-05,5586048.4,IESO - TotalLoad
2025-07-06,5977841.6,IESO - TotalLoad
2025-07-07,6236120.6,IESO - TotalLoad
2025-07-08,5891180.0,IESO - TotalLoad
2025-07-09,5682703.1,IESO - TotalLoad
2025-07-10,5725868.6,IESO - TotalLoad
2025-07-11,5850151.4,IESO - TotalLoad
2025-07-12,6016215.3,IESO - TotalLoad
2025-07-13,5830285.8,IESO - TotalLoad
2025-07-14,5840956.5,IESO - TotalLoad
2025-07-15,5989816.0,IESO - TotalLoad
2025-07-16,6264291.3,IESO - TotalLoad
2025-07-17,6125191.3999999985,IESO - TotalLoad
2025-07-18,5456169.699999999,IESO - TotalLoad
2025-07-19,5353600.0,IESO - TotalLoad
2025-07-20,5544473.0,IESO - TotalLoad
2025-07-21,5319003.9,IESO - TotalLoad
2025-07-22,5354501.7,IESO - TotalLoad
2025-07-23,5574499.7,IESO - TotalLoad
2025-07-24,5556565.0,IESO - TotalLoad
2025-07-25,2036234.4,IESO - TotalLoad
2025-06-30,863265.3640000001,ISONE - TotalLoad
2025-07-01,4963953.376,ISONE - TotalLoad
2025-07-02,4763726.8719999995,ISONE - TotalLoad
2025-07-03,4436307.049000001,ISONE - TotalLoad
2025-07-04,3380709.683,ISONE - TotalLoad
2025-07-05,3500564.416,ISONE - TotalLoad
2025-07-06,4340754.143,ISONE - TotalLoad
2025-07-07,5125020.925,ISONE - TotalLoad
2025-07-08,5420979.568,ISONE - TotalLoad
2025-07-09,4742839.805,ISONE - TotalLoad
2025-07-10,4303167.674000001,ISONE - TotalLoad
2025-07-11,4246343.767000001,ISONE - TotalLoad
2025-07-12,4180421.175,ISONE - TotalLoad
2025-07-13,4127803.323,ISONE - TotalLoad
2025-07-14,4732978.6680000005,ISONE - TotalLoad
2025-07-15,5085586.905,ISONE - TotalLoad
2025-07-16,5424468.101,ISONE - TotalLoad
2025-07-17,5598568.8549999995,ISONE - TotalLoad
2025-07-18,4410179.9290000005,ISONE - TotalLoad
2025-07-19,3771934.6390000004,ISONE - TotalLoad
2025-07-20,4454833.6,ISONE - TotalLoad
2025-07-21,4017864.77,ISONE - TotalLoad
2025-07-22,3592167.213,ISONE - TotalLoad
2025-07-23,3888772.913,ISONE - TotalLoad
2025-07-24,4531234.721000001,ISONE - TotalLoad
2025-07-25,1512822.635,ISONE - TotalLoad
2025-06-30,5668445.0,MISO - TotalLoad
2025-07-01,26415655.0,MISO - TotalLoad
2025-07-02,26497390.0,MISO - TotalLoad
2025-07-03,26794609.0,MISO - TotalLoad
2025-07-04,25525073.0,MISO - TotalLoad
2025-07-05,25837263.0,MISO - TotalLoad
2025-07-06,25426418.0,MISO - TotalLoad
2025-07-07,25371315.0,MISO - TotalLoad
2025-07-08,25427832.0,MISO - TotalLoad
2025-07-09,26014987.0,MISO - TotalLoad
2025-07-10,26308537.0,MISO - TotalLoad
2025-07-11,26584671.0,MISO - TotalLoad
2025-07-12,25032130.0,MISO - TotalLoad
2025-07-13,24223902.0,MISO - TotalLoad
2025-07-14,26597633.0,MISO - TotalLoad
2025-07-15,27704600.0,MISO - TotalLoad
2025-07-16,27446210.0,MISO - TotalLoad
2025-07-17,24355930.0,MISO - TotalLoad
2025-07-18,24386575.0,MISO - TotalLoad
2025-07-19,24548138.0,MISO - TotalLoad
2025-07-20,25050296.0,MISO - TotalLoad
2025-07-21,26221074.0,MISO - TotalLoad
2025-07-22,27775687.0,MISO - TotalLoad
2025-07-23,28731369.0,MISO - TotalLoad
2025-07-24,29134797.0,MISO - TotalLoad
2025-07-25,7528676.0,MISO - TotalLoad
2025-06-30,1166367.0603,NYISO - TotalLoad
2025-07-01,6644367.278649999,NYISO - TotalLoad
2025-07-02,6129489.5733,NYISO - TotalLoad
2025-07-03,5936159.77185,NYISO - TotalLoad
2025-07-04,4949103.890000001,NYISO - TotalLoad
2025-07-05,5275350.535300001,NYISO - TotalLoad
2025-07-06,5996683.5609,NYISO - TotalLoad
2025-07-07,6789390.0145,NYISO - TotalLoad
2025-07-08,6894884.19785,NYISO - TotalLoad
2025-07-09,6680321.8524,NYISO - TotalLoad
2025-07-10,6370690.0809,NYISO - TotalLoad
2025-07-11,6398664.326099999,NYISO - TotalLoad
2025-07-12,6175945.192600001,NYISO - TotalLoad
2025-07-13,6124013.49515,NYISO - TotalLoad
2025-07-14,6656036.5692,NYISO - TotalLoad
2025-07-15,6637405.1074,NYISO - TotalLoad
2025-07-16,7044369.10595,NYISO - TotalLoad
2025-07-17,7138810.017275,NYISO - TotalLoad
2025-07-18,5918370.8447,NYISO - TotalLoad
2025-07-19,5451972.290899999,NYISO - TotalLoad
2025-07-20,6094015.211825,NYISO - TotalLoad
2025-07-21,5929825.7191,NYISO - TotalLoad
2025-07-22,5319837.0193,NYISO - TotalLoad
2025-07-23,5599999.006999999,NYISO - TotalLoad
2025-07-24,6292253.887949999,NYISO - TotalLoad
2025-07-25,2057955.1386000002,NYISO - TotalLoad
2025-07-01,2765053.8772083325,PJM - TotalLoad
2025-07-02,2648343.067425,PJM - TotalLoad
2025-07-03,2693309.7621583333,PJM - TotalLoad
2025-07-04,2426365.8433333333,PJM - TotalLoad
2025-07-05,2507109.838883333,PJM - TotalLoad
2025-07-07,2830168.8880083333,PJM - TotalLoad
2025-07-08,2843300.6137749995,PJM - TotalLoad
2025-07-10,2685146.4935083333,PJM - TotalLoad
2025-07-11,2810190.062,PJM - TotalLoad
2025-07-12,2717437.7117999997,PJM - TotalLoad
2025-07-13,2623636.051375,PJM - TotalLoad
2025-07-14,2792435.3839499997,PJM - TotalLoad
2025-07-15,2819131.6402166663,PJM - TotalLoad
2025-07-16,2907770.0935333334,PJM - TotalLoad
2025-07-17,2875894.2111750003,PJM - TotalLoad
2025-07-18,2649615.1229416663,PJM - TotalLoad
2025-07-19,2504977.4738499997,PJM - TotalLoad
2025-07-20,2557502.7701583332,PJM - TotalLoad
2025-07-21,2637501.4232166666,PJM - TotalLoad
2025-07-24,2868724.00625,PJM - TotalLoad
2025-07-25,10542515.8061,PJM - TotalLoad
2025-06-30,2287559.0500000007,SPP - TotalLoad
2025-07-01,10728447.118999999,SPP - TotalLoad
2025-07-02,10900785.131000001,SPP - TotalLoad
2025-07-03,11160188.585,SPP - TotalLoad
2025-07-04,10663194.374000002,SPP - TotalLoad
2025-07-05,10531236.871,SPP - TotalLoad
2025-07-06,10695045.43,SPP - TotalLoad
2025-07-07,11246455.208,SPP - TotalLoad
2025-07-08,11185029.769,SPP - TotalLoad
2025-07-09,11650526.243999999,SPP - TotalLoad
2025-07-10,11932092.981,SPP - TotalLoad
2025-07-11,11719005.45,SPP - TotalLoad
2025-07-12,10210488.605,SPP - TotalLoad
2025-07-13,10231593.408999998,SPP - TotalLoad
2025-07-14,11379406.002,SPP - TotalLoad
2025-07-15,11917128.57,SPP - TotalLoad
2025-07-16,11815156.377999999,SPP - TotalLoad
2025-07-17,11035693.627,SPP - TotalLoad
2025-07-18,11374660.476,SPP - TotalLoad
2025-07-19,11695063.144,SPP - TotalLoad
2025-07-20,11764423.056,SPP - TotalLoad
2025-07-21,12095270.713,SPP - TotalLoad
2025-07-22,12336145.287,SPP - TotalLoad
2025-07-23,12457025.976,SPP - TotalLoad
2025-07-24,11972444.95,SPP - TotalLoad
2025-07-25,3098437.401,SPP - TotalLoad
